STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Abia,Bende,Unspecified,,785,0,,,,Rainy,0.0
Abia,Ohafia,Unspecified,,785,0,,,,Rainy,0.0
Adamawa,Madagali,11 Communities,24/08/2022,8418,0,2022-08-24,2022.0,8.0,Rainy,0.0
Adamawa,Demsa,"Bilachi, Bali, Mbongado, Dwam Sabo, Moral, Moro 2, Zuran I, Zuran 2, Kulasala,
Kuli, Labakuri, Mbumara, Nsarawo Demsa. Mbula and Kabawa",15/08/2022,12996,0,2022-08-15,2022.0,8.0,Rainy,0.0
Adamawa,Fufore,"Fufore metropolis, Daitsin Hausa, Dula, Dula bwatiye, Nafori",17/07/2022,1711,0,2022-07-17,2022.0,7.0,Rainy,0.0
Adamawa,Numan,"lmburu, Hayin Gada, Kwakwambe, /urei, gwalam and Gbalang",15/08/2022,7912,0,2022-08-15,2022.0,8.0,Rainy,0.0
Adamawa,Girei,"Jibiro, Timpi, Arda Mokawo, Vindi Dubbe, Ardo Babayo, Ngolkoyere. Jauro Ndundu",19/08/2022,2731,0,2022-08-19,2022.0,8.0,Rainy,0.0
Adamawa,Song,"Loko, Gudure, Kolere, Dumne and Gadamayo",17/07/2022,8111,0,2022-07-17,2022.0,7.0,Rainy,0.0
Adamawa,Madagali,"Mayo Wandu, Kapa. Kirchinga, Shuwa, Duhu, Saban Gari, Hyumbula, Ghumbul, Katin Hausa and Wuro Ngayandi",25/08/2022,8413,0,2022-08-25,2022.0,8.0,Rainy,0.0
Adamawa,Yola North,"Rumde Baru, Faro Road. Jambutu, Dami/u A, Damilu New. Limawa, Gwadabawa, Boramji, Kofare, Bacchure",19/08/2022,9971,0,2022-08-19,2022.0,8.0,Rainy,0.0
Adamawa,Shelleng,"Shelfeng community. kiri. wuro yanka, Karim and Lababiri",15/08/2022,9549,0,2022-08-15,2022.0,8.0,Rainy,0.0
Adamawa,Yola South,"Yola South metropolis, Wura Jabbe, unguwantabo, mbamba, damare, Njobili,
Njoboliyo, Rugange, Sebore, Anguwan Sanda, Woru Chekke, Dandu, Wauru Jabbe, Saminaka and Yolde pate '•",17/08/2022,8816,0,2022-08-17,2022.0,8.0,Rainy,0.0
Adamawa,Fufore,Unspecified,17/07/2022,9958,0,2022-07-17,2022.0,7.0,Rainy,0.0
Adamawa,Numan,Unspecified,17/07/2022,4686,0,2022-07-17,2022.0,7.0,Rainy,0.0
Adamawa,Song,Unspecified,17/07/2022,1506,0,2022-07-17,2022.0,7.0,Rainy,0.0
Adamawa,Yola North,Unspecified,2022-05-05 00:00:00,1854,0,2022-05-05,2022.0,5.0,Rainy,0.0
Adamawa,Yola South,Unspecified,2022-05-05 00:00:00,3072,0,2022-05-05,2022.0,5.0,Rainy,0.0
Anambra,Anambra East,Aguleri,22/09/2022,20998,19727,2022-09-22,2022.0,9.0,Rainy,0.9394704257548337
Anambra,Anambra East,Enugu-0tu,22/09/2022,31002,29835,2022-09-22,2022.0,9.0,Rainy,0.9623572672730791
Anambra,Anambra East,Eziagulu-otu,22/09/2022,21041,19975,2022-09-22,2022.0,9.0,Rainy,0.9493370086973053
Anambra,Anambra East,Mkpunando-otu,22/09/2022,9959,8407,2022-09-22,2022.0,9.0,Rainy,0.8441610603474244
Anambra,Anambra East,lgbariam,22/09/2022,5806,5120,2022-09-22,2022.0,9.0,Rainy,0.8818463658284533
Anambra,Anambra East,Umueri,22/09/2022,1194,974,2022-09-22,2022.0,9.0,Rainy,0.8157453936348409
Anambra,Anambra East,Nsugbe,22/09/2022,2202,1788,2022-09-22,2022.0,9.0,Rainy,0.8119891008174387
Anambra,Anambra East,lkemivite Nanda,22/09/2022,5798,5184,2022-09-22,2022.0,9.0,Rainy,0.8941014142807865
Anambra,Anambra East,Umuoba,22/09/2022,5304,4812,2022-09-22,2022.0,9.0,Rainy,0.9072398190045249
Anambra,Anambra West,Umueze,22/09/2022,22031,19457,2022-09-22,2022.0,9.0,Rainy,0.8831646316553947
Anambra,Anambra West,Umuenwelum,22/09/2022,23969,21840,2022-09-22,2022.0,9.0,Rainy,0.9111769368767992
Anambra,Anambra West,Oroma-Etiti,22/09/2022,20066,18338,2022-09-22,2022.0,9.0,Rainy,0.9138841821987441
Anambra,Anambra West,Ezi-Anam,22/09/2022,22934,19015,2022-09-22,2022.0,9.0,Rainy,0.8291183395831516
Anambra,Anambra West,Unspecified,22/09/2022,25046,20242,2022-09-22,2022.0,9.0,Rainy,0.8081929250179669
Anambra,Anambra West,Owelle,22/09/2022,19954,15913,2022-09-22,2022.0,9.0,Rainy,0.7974842136914905
Anambra,Anambra West,Ukwalla,22/09/2022,9118,7010,2022-09-22,2022.0,9.0,Rainy,0.7688089493309936
Anambra,Anambra West,fnoma,22/09/2022,19908,15370,2022-09-22,2022.0,9.0,Rainy,0.7720514366083986
Anambra,Anambra West,Ofumbanasa,22/09/2022,44011,25801,2022-09-22,2022.0,9.0,Rainy,0.5862398036854423
Anambra,Anambra West,Nzam,22/09/2022,30994,21972,2022-09-22,2022.0,9.0,Rainy,0.7089114022068788
Anambra,Ayamelum,Omor,22/09/2022,1047,832,2022-09-22,2022.0,9.0,Rainy,0.7946513849092646
Anambra,Ayamelum,Anaku,22/09/2022,1106,945,2022-09-22,2022.0,9.0,Rainy,0.8544303797468354
Anambra,Ayamelum,fgbakwu,22/09/2022,1380,1024,2022-09-22,2022.0,9.0,Rainy,0.7420289855072464
Anambra,Ayamelum,Umuerum,22/09/2022,1661,1388,2022-09-22,2022.0,9.0,Rainy,0.8356411800120409
Anambra,Ayamelum,Umueje,22/09/2022,1562,1201,2022-09-22,2022.0,9.0,Rainy,0.7688860435339309
Anambra,Ayamelum,lfite-Ogwari,22/09/2022,1034,939,2022-09-22,2022.0,9.0,Rainy,0.9081237911025145
Anambra,Ayamelum,Umumbo,22/09/2022,1277,1014,2022-09-22,2022.0,9.0,Rainy,0.7940485512920908
Anambra,Ayamelum,Omasi,22/09/2022,1278,967,2022-09-22,2022.0,9.0,Rainy,0.7566510172143975
Anambra,Ogbaru,Okpoko,22/09/2022,61033,45135,2022-09-22,2022.0,9.0,Rainy,0.739517965690692
Anambra,Ogbaru,Odekpe,22/09/2022,39967,31682,2022-09-22,2022.0,9.0,Rainy,0.7927039807841469
Anambra,Ogbaru,Ohita,22/09/2022,8072,6658,2022-09-22,2022.0,9.0,Rainy,0.824826560951437
